date,book,chapter_slug,word_count,sources_count,verify_flag_count,pantry_notes_found,pantry_lib_files_used,thin_pantry,mechanism_explained,contested_claims_flagged
2026-05-18,ai-for-teachers-a-practitioners-guide,01-the-ai-dividend,5612,8,1,yes,2,no,"Ad hoc 5.9-hour Gallup/Walton 2025 finding distinguished from 16.7-hour systematic ceiling — one is measured, the other is a projection built by author-estimated AI-substitutable fractions",0
2026-05-18,ai-for-teachers-a-practitioners-guide,02-the-phase-gate,6487,16,1,yes,2,no,"The phase gate is the Frictional argument made operational at teacher scale; gate location (not gate presence) decides whether AI use builds or bypasses cognitive operations (Bastani GPT Base vs GPT Tutor)",1
2026-05-18,ai-for-teachers-a-practitioners-guide,03-prompting-that-works,5038,8,0,yes,5,no,"A prompt narrows the probability distribution from which the model samples; specification (role+context+task+constraints) shifts output toward 'usable for this class' and iteration closes the residual gap",0
2026-05-18,ai-for-teachers-a-practitioners-guide,04-lesson-planning-with-ai,5973,7,2,yes,3,no,"AI generates the structural layer of a lesson plan; pedagogical content knowledge (Shulman) — the specific misconceptions, analogies, sequence choices, and standards verification 'this class this week' requires — is the revision pass that cannot be delegated",0
2026-05-18,ai-for-teachers-a-practitioners-guide,05-assessment-grading-and-feedback-with-ai,7071,11,0,yes,3,no,"A rubric must be calibrated against the teacher's own judgment on five known samples before it can be trusted on unknown cases; the 45-second teacher review pass on each AI-drafted comment is where PCK gets inserted into otherwise structurally-correct-contextually-disconnected feedback",0
2026-05-18,ai-for-teachers-a-practitioners-guide,06-differentiation-with-ai,5897,12,0,yes,3,no,"LLMs 'lower the Lexile' by manipulating sentence length and word frequency — the two inputs the Lexile formula scores — which reliably moves the readability metric and unreliably preserves the conceptual content; the teacher's spot-check (band match + claim survival + cognitive-demand survival) is the substantive differentiation act",0
2026-05-18,ai-for-teachers-a-practitioners-guide,07-communication-with-ai,5550,10,0,yes,2,no,"AI is a form-renderer for human-supplied substance; the chapter's skill is sorting routine communications (draft-then-review) from sensitive (teacher-drafts-then-AI-tones), with the teacher's signature as the accountability moment regardless of authorship pathway",5
2026-05-18,ai-for-teachers-a-practitioners-guide,08-making-slides-with-ai,5651,11,0,yes,2,no,"AI slide generators trained on the distribution of human slides reproduce slideument defaults (topic labels, redundant prose, decorative color, wrong visual form); a five-question diagnostic anchored to Mayer's Redundancy Principle and Alley's assertion-evidence gives the teacher vocabulary to convert defaults into a targeted revision prompt",0
2026-05-18,ai-for-teachers-a-practitioners-guide,09-making-graphs-and-data-visualizations-with-ai,7482,14,0,yes,2,no,"A chart is honest when visual magnitude is proportional to underlying quantity (Tufte), every quantitative claim is set against an explicit reference (Cairo), and the encoding matches what the reader's question requires — which means choosing distribution charts over mean-bar-charts whenever within-group variance is where the equity story lives (Holder & Xiong)",0
2026-05-18,ai-for-teachers-a-practitioners-guide,10-writing-with-ai-an-introduction,4954,12,0,yes,2,no,"AI in writing decouples the artifact from the cognition it was supposed to evidence; the pedagogical response is to redesign assignments (process documentation, revision-trajectory grading, argument-defense) such that the cognition rather than the artifact is what gets surfaced",0
2026-05-18,ai-for-teachers-a-practitioners-guide,11-coding-with-ai-an-introduction,5383,10,2,yes,2,no,"A teacher describes what a tool should do in plain English along Botspeak's five components, an AI coding assistant renders the syntax, and the teacher verifies the output behavior against the spec — including edge cases and privacy surface — because the source code is not legible to them and 'ran without crashing' is not the same as 'did the right thing'",0
2026-05-18,ai-for-teachers-a-practitioners-guide,12-building-your-ai-workflow,6368,16,4,yes,4,no,"Captured prompts plus scheduled time-blocks convert recurring teaching tasks from goal-system decisions (effortful, depletable, restart-each-time) into context-cued habit-system routines whose activation cost trends to zero; the accumulated activation-cost difference across a school year is what the Gallup-Walton 5.9 hr/wk weekly-user mean is associated with",5
2026-05-18,ai-for-teachers-a-practitioners-guide,13-academic-integrity-privacy-and-honest-use,6739,15,4,yes,2,no,"AI-survivable assessment design works because each checklist question targets a specific 2026 limit of AI capability (no live conversation, training cutoff, no process trace, no live performance, no unannounced delayed retrieval) — so a student who bypassed the cognitive work leaves an observable gap on at least one axis, making the combination roughly as costly to fake as to do honestly",0
2026-05-18,ai-for-teachers-a-practitioners-guide,14-what-to-tell-your-students,7847,14,3,yes,3,no,"Genuine learning is a biological event triggered by cognitive friction (prediction error → storage strength); AI that offloads the load-bearing operation (capability-borrowing) raises retrieval strength without building storage (fluency without learning), while AI that generates the friction the student must overcome (capability-building: Socratic, edge-of-competence practice, Feynman test) preserves the trigger and channels the same tool into the learning operation rather than around it",0
